,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
85,-128037614#2,317047483,88327803,7,highway.secondary,"9725.13,3792.32 9758.79,3889.50 9766.31,3914.74 9773.25,3937.16 9816.30,4063.15",292.54,13.89,-128037614#2_0,2,4,10,-1
86,-128132988,288219386,1416633518,4,highway.residential,"9572.66,3201.04 9558.86,3137.16",72.98,8.33,-128132988_0,1,4,4,4
87,-128445391#3,1419490273,1419490274,4,highway.residential,"9974.89,5711.33 9967.66,5733.30 9958.87,5759.94 9950.18,5786.32 9949.39,5790.74 9948.39,5806.09 9946.69,5811.14",118.32,13.89,-128445391#3_0,1,9,9,9
88,-128445391#4,1419490272,1419490273,4,highway.residential,"9985.15,5681.16 9979.46,5697.74",31.89,13.89,-128445391#4_0,1,9,9,9
89,-128445392,1419490258,1419490256,4,highway.residential,"10046.30,5491.34 10002.34,5476.88 9999.18,5475.04",57.46,13.89,-128445392_0,1,9,9,9
90,-128445393,1419490272,1419490267,4,highway.residential,"9978.63,5673.03 9889.21,5642.82",108.81,13.89,-128445393_0,1,9,9,9
91,-128445394,1419490262,1419490261,4,highway.residential,"10016.50,5546.72 9987.05,5537.63",38.04,13.89,-128445394_0,1,9,9,9
92,-128445395,1419490249,1419490248,4,highway.residential,"10064.84,5437.03 10016.89,5421.57",57.58,13.89,-128445395_0,1,9,9,9
93,-128445396#0,1419490270,1419490273,4,highway.residential,"9875.85,5667.62 9876.05,5668.70 9878.17,5670.59 9969.27,5700.23",116.26,13.89,-128445396#0_0,1,9,9,9
94,-128445396#1,1419490267,1419490270,4,highway.residential,"9882.06,5646.31 9879.28,5654.39",22.75,13.89,-128445396#1_0,1,9,9,9
95,-128445396#2,1419490264,1419490267,4,highway.residential,"9892.96,5614.48 9886.74,5632.69",33.70,13.89,-128445396#2_0,1,9,9,9
96,-128445397#0,1419490266,1419490272,4,highway.residential,"9956.16,5627.56 9998.45,5641.77 9989.79,5667.50",82.98,13.89,-128445397#0_0,1,9,9,9
97,-128445397#1,1419490264,1419490266,4,highway.residential,"9901.15,5608.04 9942.53,5622.84",58.43,13.89,-128445397#1_0,1,9,9,9
98,-128445398#1,1419490252,1419490259,4,highway.residential,"9916.32,5449.60 9908.22,5473.87 9908.40,5477.77 9910.45,5479.51 9974.76,5500.59",116.75,13.89,-128445398#1_0,1,9,9,9
99,-128445398#2,1419490256,1419490252,4,highway.residential,"9985.54,5467.21 9984.83,5466.81 9923.40,5446.07",81.05,13.89,-128445398#2_0,1,9,9,9
100,-129139466,354623579,354623583,4,highway.residential,"4450.81,10119.17 4455.68,10123.02 4459.99,10129.88 4458.49,10137.77 4450.03,10138.17 4443.91,10132.19",44.37,13.89,-129139466_0,1,0,0,0
101,-129447594,1428186038,1428186045,4,highway.residential,"3395.14,10233.35 3392.51,10239.26",13.11,13.89,-129447594_0,1,0,0,0
102,-129447595,1428186041,1428186052,4,highway.residential,"3443.89,10227.53 3491.78,10241.49 3493.36,10243.18",58.98,13.89,-129447595_0,1,0,0,0
103,-129447596,1428186053,1428186054,4,highway.residential,"3429.29,10259.96 3453.99,10270.73",36.10,13.89,-129447596_0,1,0,0,0
104,-129447597,1428186032,1428186047,4,highway.residential,"3469.86,10194.59 3501.83,10210.02 3500.11,10221.38 3505.45,10231.13 3508.22,10235.23",69.43,13.89,-129447597_0,1,0,0,0
105,-129473946,3665147063,1419490252,4,highway.residential,"9931.25,5410.52 9927.29,5416.10 9920.82,5435.93",35.36,13.89,-129473946_0,1,9,9,9
