,id,x,y,type,region
1020,287671481,9280.09,3041.47,priority,4
1021,287672007,9115.30,3110.34,priority,4
1022,287672923,9152.44,3203.98,priority,4
1023,287672970,9215.04,3316.82,priority,4
1024,287673162,9460.27,3331.46,priority,4
1025,287673671,9395.09,3164.56,priority,4
1026,287674114,9562.83,3520.79,priority,4
1027,287676039,9304.36,3134.05,priority,4
1028,287677770,9377.80,3113.75,right_before_left,4
1029,287698275,9342.58,3017.72,right_before_left,4
1030,287699223,9330.91,2970.60,right_before_left,4
1031,287699226,9298.13,2933.22,right_before_left,4
1032,287699240,9311.15,2975.86,right_before_left,4
1033,287699478,9304.55,2977.94,priority,4
1034,287699897,9244.20,2920.96,priority,4
1035,287701181,9331.74,3264.80,priority,4
1036,287702107,9354.44,3612.66,priority,4
1037,287702379,9073.64,3347.42,priority,4
1038,287702568,9085.86,3373.22,priority,4
1039,287702610,9016.19,3234.44,priority,4
1040,287703535,4298.68,8724.44,priority,1
1041,287703552,4294.30,8613.92,priority,1
1042,287703562,4396.30,8674.28,priority,1
1043,287703720,8841.77,2768.01,priority,4
1044,287707398,8874.69,2940.70,priority,4
1045,287713149,8658.98,3031.01,right_before_left,4
1046,287713154,8835.85,3262.34,priority,4
1047,287713986,8675.09,3178.79,priority,4
1048,287714080,8595.47,2917.41,priority,4
1049,287807451,8813.60,3226.50,priority,4
1050,287807487,8778.16,3245.32,right_before_left,4
1051,287807488,8790.68,3267.77,priority,4
1052,287807502,8772.83,3236.21,priority,4
1053,287841079,8438.40,2964.20,priority,4
1054,287853561,8845.65,2845.18,priority,4
1055,287854735,9030.11,2823.62,priority,4
1056,287855632,8686.62,2888.33,priority,4
1057,287855738,8694.05,2817.88,priority,4
1058,287856902,9102.91,2448.33,right_before_left,4
1059,287856909,9226.34,2333.09,priority,4
1060,288090410,7448.93,7816.04,priority,8
1061,288090552,7752.19,7776.88,priority,6
1062,288090573,7566.66,7800.90,priority,6
1063,288090575,7537.21,7772.23,priority,8
1064,288117701,7406.69,7702.93,priority,8
1065,288118101,7946.13,7349.74,priority,9
1066,288215246,9746.11,2806.76,priority,4
1067,288215253,9711.44,3140.69,priority,4
1068,288216141,9645.45,2742.22,priority,4
1069,288216718,9638.69,3125.31,right_before_left,4
1070,288216732,9555.19,3316.03,priority,4
1071,288217260,9640.53,3307.22,priority,4
1072,288218613,9654.04,2816.82,right_before_left,4
1073,288219386,9574.22,3200.70,priority,4
1074,288221012,9379.89,2614.66,priority,4
1075,288221150,9286.48,2648.77,right_before_left,4
1076,288221450,9295.31,2672.76,priority,4
1077,288222600,9472.93,2540.61,right_before_left,4
1078,288226354,9463.68,2542.83,priority,4
1079,288226708,9550.51,2662.36,priority,4
1080,288226792,9507.88,2670.43,priority,4
1081,288226810,9511.45,2683.37,priority,4
1082,288226854,9396.15,2645.17,priority,4
1083,289674642,4247.60,8733.68,priority,1
1084,289674643,4582.60,8850.22,priority,1
1085,289674646,4525.51,8634.56,priority,1
1086,289674647,4512.01,8658.94,priority,1
1087,289674648,4559.57,8702.23,priority,1
1088,291783186,9334.39,3743.22,priority,4
1089,291783522,9363.18,3841.37,priority,4
1090,291786357,9220.45,3774.34,priority,4
1091,291787817,9268.61,3974.47,priority,4
1092,291790112,9318.55,4242.27,priority,4
1093,291791567,9012.86,3863.75,priority,4
1094,291791715,9017.99,3787.92,priority,4
1095,291791888,9076.34,3800.47,priority,4
1096,291791889,9069.04,3866.35,priority,4
1097,291791890,8986.18,3864.09,priority,4
1098,291793151,8942.52,3817.96,priority,4
1099,291793818,8884.40,3986.13,priority,4
1100,291794005,8863.14,3816.62,priority,4
1101,291794432,8818.43,3807.77,priority,4
1102,291795929,8858.99,3683.37,priority,4
1103,291795983,8910.43,3674.91,priority,4
1104,291796096,9159.88,3764.01,priority,4
1105,291796284,9004.88,3692.60,priority,4
1106,294919992,7509.91,3191.65,priority,4
1107,2951253562,9615.65,1592.50,priority,3
1108,295345214,8291.63,9288.20,priority,5
1109,295345216,7765.85,9973.27,priority,8
1110,295537221,7027.23,8044.69,priority,8
1111,295537222,7006.55,8195.19,priority,8
1112,295537223,6991.05,8331.39,priority,8
1113,295537225,6959.33,8467.46,priority,8
1114,295537233,7050.63,8386.11,right_before_left,8
1115,295537242,7286.92,8205.34,right_before_left,8
1116,295537244,7317.06,8140.96,priority,8
1117,295537247,7064.73,8316.64,right_before_left,8
1118,295537249,7066.92,8255.28,right_before_left,8
1119,295537250,7065.14,8193.66,right_before_left,8
1120,295537251,7223.37,8187.23,right_before_left,8
1121,295643965,3754.75,6392.57,priority,1
1122,295912418,10523.94,8976.94,priority,7
1123,295951221,10010.39,8532.26,priority,7
1124,296918450,6985.17,8359.01,priority,8
1125,296918455,6893.25,8359.06,right_before_left,8
1126,296918457,6812.20,8363.50,priority,8
1127,296918459,6891.56,8282.52,right_before_left,8
1128,296918461,6903.38,8267.51,right_before_left,8
1129,296918473,6772.82,8284.03,right_before_left,8
1130,296918482,6770.89,8202.93,priority,8
1131,296918488,6759.21,8356.83,priority,8
1132,296918493,6773.49,8342.48,right_before_left,8
1133,296918495,6730.17,8271.57,priority,8
1134,296920030,7252.68,8154.34,priority,8
1135,296924848,6902.93,8239.46,priority,8
1136,296924849,6920.07,8267.27,priority,8
1137,296924851,6834.85,8310.15,priority,8
1138,296924852,6834.81,8280.23,priority,8
1139,2969279888,9522.79,6900.12,priority,7
1140,2969279911,10219.65,8089.95,priority,7
1141,2969279915,10073.31,8147.05,priority,7
1142,2969280540,10204.53,8211.29,priority,7
1143,298445505,11988.44,9733.32,priority,7
1144,298445514,12057.61,9720.72,priority,7
1145,298445532,12122.29,9782.73,priority,7
1146,298445542,11927.46,10017.93,priority,7
1147,298445545,11871.59,10068.40,priority,7
1148,298445552,11996.99,10001.25,priority,7
1149,298445554,11995.84,10034.11,priority,7
1150,298445558,12048.89,9934.58,priority,7
1151,298445569,11845.36,10051.40,priority,7
1152,298445573,11970.30,10078.68,priority,7
1153,303198534,11844.37,5291.91,priority,10
1154,304599775,8696.77,9123.63,right_before_left,5
1155,304599777,8761.79,9098.65,right_before_left,5
1156,304599986,8800.03,9039.85,right_before_left,5
1157,304599993,8828.07,9061.41,priority,5
1158,304600045,8645.83,9083.84,priority,5
1159,304600220,8669.45,9154.52,right_before_left,5
1160,304600412,8691.57,8993.35,priority,5
1161,304601352,8757.74,9047.41,right_before_left,5
1162,304601383,8841.55,8986.93,priority,5
1163,304652954,8391.37,7550.54,priority,6
1164,304652956,8429.43,7549.74,priority,6
1165,304653009,8638.90,7273.98,priority,6
1166,304653016,8678.25,7240.27,priority,6
1167,304653018,8709.04,7206.07,priority,6
1168,304653024,8721.29,7183.39,traffic_light,6
1169,306595831,9759.26,7994.57,priority,7
